order,document_id,title,kb_category,prepared_file,source_ids,notes
1,LAW001,中华人民共和国劳动法,national_law,documents/official_sources/LAW001_中华人民共和国劳动法.md,LAW001,official_source_deduplicated
2,LAW002,中华人民共和国劳动合同法,national_law,documents/official_sources/LAW002_中华人民共和国劳动合同法.md,LAW002,official_source_deduplicated
3,LAW003,中华人民共和国社会保险法,national_law,documents/official_sources/LAW003_中华人民共和国社会保险法.md,LAW003,official_source_deduplicated
4,LAW004,中华人民共和国劳动争议调解仲裁法,national_law,documents/official_sources/LAW004_中华人民共和国劳动争议调解仲裁法.md,LAW004,official_source_deduplicated
5,LAW005,工伤保险条例,national_law,documents/official_sources/LAW005_工伤保险条例.md,LAW005,official_source_deduplicated
6,LAW006,女职工劳动保护特别规定,national_law,documents/official_sources/LAW006_女职工劳动保护特别规定.md,LAW006,official_source_deduplicated
7,LAW007,保障农民工工资支付条例,national_law,documents/official_sources/LAW007_保障农民工工资支付条例.md,LAW007,official_source_deduplicated
8,LAW008,社会保险经办条例,national_law,documents/official_sources/LAW008_社会保险经办条例.md,LAW008,official_source_deduplicated
9,LAW009,失业保险条例,national_law,documents/official_sources/LAW009_失业保险条例.md,LAW009,official_source_deduplicated
10,LAW010,最低工资规定,national_law,documents/official_sources/LAW010_最低工资规定.md,LAW010,official_source_deduplicated
11,SX001,陕西最低工资标准,shaanxi_policy,documents/official_sources/SX001_陕西最低工资标准.md,SX001,official_source_deduplicated
12,SX002,陕西2025年度社保缴费基数参数,shaanxi_policy,documents/official_sources/SX002_陕西2025年度社保缴费基数参数.md,SX002,official_source_deduplicated
13,SX003,陕西省人口与计划生育条例,shaanxi_policy,documents/official_sources/SX003_陕西省人口与计划生育条例.md,SX003,official_source_deduplicated
14,SX004,陕西2026年度城乡居民医保集中缴费信息,shaanxi_policy,documents/official_sources/SX004_陕西2026年度城乡居民医保集中缴费信息.md,SX004,official_source_deduplicated
15,SX005,陕西医保家庭共济办理说明,shaanxi_policy,documents/official_sources/SX005_陕西医保家庭共济办理说明.md,SX005,official_source_deduplicated
16,SX006,陕西城乡居民基本养老保险缴费档次调整,shaanxi_policy,documents/official_sources/SX006_陕西城乡居民基本养老保险缴费档次调整.md,SX006,official_source_deduplicated
17,SX007,陕西省城乡居民基本养老保险经办规程,shaanxi_policy,documents/official_sources/SX007_陕西省城乡居民基本养老保险经办规程.md,SX007,official_source_deduplicated
18,SX008,陕西省工伤保险经办规程试行,shaanxi_policy,documents/official_sources/SX008_陕西省工伤保险经办规程试行.md,SX008,official_source_deduplicated
19,XA001,西安市各区县劳动人事争议仲裁机构联系方式及通讯地址,xian_service_rule,documents/official_sources/XA001_西安市各区县劳动人事争议仲裁机构联系方式及通讯地址.md,XA001,official_source_deduplicated
20,XA002,养老保险关系转移办理说明,xian_service_rule,documents/official_sources/XA002_养老保险关系转移办理说明.md,XA002,official_source_deduplicated
21,XA003,陕西医保异地就医备案办理说明,xian_service_rule,documents/official_sources/XA003_陕西医保异地就医备案办理说明.md,XA003,official_source_deduplicated
22,COMPANY001,陕西智联科技有限公司HR社保操作SOP,company_policy,documents/company_policies/COMPANY001_陕西智联科技有限公司HR社保操作SOP.md,,company_policy_sanitized_markdown
23,COMPANY002,陕西智联科技有限公司员工手册,company_policy,documents/company_policies/COMPANY002_陕西智联科技有限公司员工手册.md,,company_policy_sanitized_markdown
24,COMPANY003,陕西智联科技有限公司考勤管理办法,company_policy,documents/company_policies/COMPANY003_陕西智联科技有限公司考勤管理办法.md,,company_policy_sanitized_markdown
25,COMPANY004,陕西智联科技有限公司薪酬管理制度,company_policy,documents/company_policies/COMPANY004_陕西智联科技有限公司薪酬管理制度.md,,company_policy_sanitized_markdown
26,COMPANY005,陕西智联科技有限公司请休假管理办法,company_policy,documents/company_policies/COMPANY005_陕西智联科技有限公司请休假管理办法.md,,company_policy_sanitized_markdown
27,COMPANY006,陕西智联科技有限公司费用报销管理制度,company_policy,documents/company_policies/COMPANY006_陕西智联科技有限公司费用报销管理制度.md,,company_policy_sanitized_markdown
28,FAQ001,西安最低工资标准是多少？,standard_faq,documents/faqs/FAQ001_西安最低工资标准是多少？.md,SX001,faq_retrieval_boost
29,FAQ002,试用期工资可以低于最低工资吗？,standard_faq,documents/faqs/FAQ002_试用期工资可以低于最低工资吗？.md,"LAW002,LAW010,SX001",faq_retrieval_boost
30,FAQ003,陕西社保缴费基数上下限是多少？,standard_faq,documents/faqs/FAQ003_陕西社保缴费基数上下限是多少？.md,SX002,faq_retrieval_boost
31,FAQ004,新员工入职后多久要办理社保？,standard_faq,documents/faqs/FAQ004_新员工入职后多久要办理社保？.md,LAW003,faq_retrieval_boost
32,FAQ005,离职后社保什么时候停？,standard_faq,documents/faqs/FAQ005_离职后社保什么时候停？.md,LAW003,faq_retrieval_boost
33,FAQ006,陕西居民医保一年交多少钱？,standard_faq,documents/faqs/FAQ006_陕西居民医保一年交多少钱？.md,SX004,faq_retrieval_boost
34,FAQ007,居民医保断缴后还能报销吗？,standard_faq,documents/faqs/FAQ007_居民医保断缴后还能报销吗？.md,SX004,faq_retrieval_boost
35,FAQ008,陕西医保家庭共济怎么绑定？,standard_faq,documents/faqs/FAQ008_陕西医保家庭共济怎么绑定？.md,SX005,faq_retrieval_boost
36,FAQ009,陕西产假多少天？,standard_faq,documents/faqs/FAQ009_陕西产假多少天？.md,SX003,faq_retrieval_boost
37,FAQ010,陕西护理假多少天？,standard_faq,documents/faqs/FAQ010_陕西护理假多少天？.md,SX003,faq_retrieval_boost
38,FAQ011,陕西育儿假怎么休？,standard_faq,documents/faqs/FAQ011_陕西育儿假怎么休？.md,SX003,faq_retrieval_boost
39,FAQ012,劳动合同一定要签书面的吗？,standard_faq,documents/faqs/FAQ012_劳动合同一定要签书面的吗？.md,LAW002,faq_retrieval_boost
40,FAQ013,员工不签劳动合同怎么办？,standard_faq,documents/faqs/FAQ013_员工不签劳动合同怎么办？.md,LAW002,faq_retrieval_boost
41,FAQ014,企业可以用制度规定工资扣款吗？,standard_faq,documents/faqs/FAQ014_企业可以用制度规定工资扣款吗？.md,"LAW001,LAW010,SX001",faq_retrieval_boost
42,FAQ015,员工自愿放弃社保可以吗？,standard_faq,documents/faqs/FAQ015_员工自愿放弃社保可以吗？.md,LAW003,faq_retrieval_boost
43,FAQ016,上班路上受伤一定算工伤吗？,standard_faq,documents/faqs/FAQ016_上班路上受伤一定算工伤吗？.md,LAW005,faq_retrieval_boost
44,FAQ017,工伤认定由谁申请？,standard_faq,documents/faqs/FAQ017_工伤认定由谁申请？.md,LAW005,faq_retrieval_boost
45,FAQ018,西安劳动仲裁去哪里申请？,standard_faq,documents/faqs/FAQ018_西安劳动仲裁去哪里申请？.md,XA001,faq_retrieval_boost
46,FAQ019,劳动仲裁收费吗？,standard_faq,documents/faqs/FAQ019_劳动仲裁收费吗？.md,LAW004,faq_retrieval_boost
47,FAQ020,劳动仲裁时效是多久？,standard_faq,documents/faqs/FAQ020_劳动仲裁时效是多久？.md,LAW004,faq_retrieval_boost
48,FAQ021,陕西居民养老保险缴费档次有哪些？,standard_faq,documents/faqs/FAQ021_陕西居民养老保险缴费档次有哪些？.md,SX006,faq_retrieval_boost
49,FAQ022,养老保险关系什么时候需要转移？,standard_faq,documents/faqs/FAQ022_养老保险关系什么时候需要转移？.md,XA002,faq_retrieval_boost
50,FAQ023,异地就医备案在哪里办？,standard_faq,documents/faqs/FAQ023_异地就医备案在哪里办？.md,XA003,faq_retrieval_boost
51,FAQ024,工伤认定需要哪些基础材料？,standard_faq,documents/faqs/FAQ024_工伤认定需要哪些基础材料？.md,"LAW005,SX008",faq_retrieval_boost
52,FAQ025,工伤职工转诊转院怎么办？,standard_faq,documents/faqs/FAQ025_工伤职工转诊转院怎么办？.md,SX008,faq_retrieval_boost
53,FAQ026,企业制度和地方政策冲突怎么办？,standard_faq,documents/faqs/FAQ026_企业制度和地方政策冲突怎么办？.md,"LAW001,LAW002,SX003",faq_retrieval_boost
54,FAQ027,医保家庭共济可以跨市用吗？,standard_faq,documents/faqs/FAQ027_医保家庭共济可以跨市用吗？.md,SX005,faq_retrieval_boost
55,FAQ028,西安高新区劳动仲裁电话是多少？,standard_faq,documents/faqs/FAQ028_西安高新区劳动仲裁电话是多少？.md,XA001,faq_retrieval_boost
56,FAQ029,陕西居民医保连续参保有什么好处？,standard_faq,documents/faqs/FAQ029_陕西居民医保连续参保有什么好处？.md,SX004,faq_retrieval_boost
57,FAQ030,最低工资包括加班费吗？,standard_faq,documents/faqs/FAQ030_最低工资包括加班费吗？.md,"SX001,LAW010",faq_retrieval_boost
